Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;101.80;102.80;100.80;102.40;" 16:25";CET;40263;4110543.60;102.40;
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;7.60;7.60;7.36;7.38;" 16:25";CET;65639;486755.68;7.38;
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;2.065;2.085;2.04;2.06;" 16:25";CET;1671101;3449673.03;2.06;
"KONGSBERG GRUPPEN";NO0013536151;KOG;"Oslo Børs";NOK;291.90;298.30;287.60;294.70;" 16:27";CET;1251660;367714543.50;294.70;
"KONGSBERG MARITIME";NO0013697029;KMAR;"Oslo Børs";NOK;59.10;59.10;57.54;57.88;" 16:29";CET;2165409;125528400.16;57.88;
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;14.40;14.40;13.50;13.50;" 16:25";CET;38132;520093.85;13.50;
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;45.34;45.70;44.94;45.60;" 16:25";CET;603326;27446932.90;45.60;
LIFECARE;NO0013355859;LIFE;"Oslo Børs";NOK;0.382;0.3825;0.356;0.3735;" 15:27";CET;1466779;544756.89;0.3735;
"LIFECARE TR2";NO0013709204;LIFES;"Oslo Børs";NOK;0.047;0.0595;0.047;0.0595;" 16:27";CET;40146;2013.69;0.0595;
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;27.50;27.54;26.90;27.54;" 16:28";CET;1057948;28906796.64;27.54;
"LOKOTECH GROUP";NO0010921299;LOKO;"Euronext Growth Oslo";NOK;0.684;0.698;0.675;0.689;" 16:27";CET;2880223;1983124.98;0.689;
"LUMI GRUPPEN";NO0010927288;LUMI;"Euronext Growth Oslo";NOK;19.00;19.00;19.00;19.00;" 13:31";CET;1508;28652.00;19.00;
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;11.00;11.00;10.10;10.80;" 16:25";CET;39863;418922.50;10.80;
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;5.40;5.60;5.40;5.50;" 11:42";CET;1216;6687.50;5.50;
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;32.20;32.85;29.05;29.05;" 16:28";CET;1063741;32221010.60;29.05;
MATVAREEXPRESSEN;NO0013008664;MVE;"Euronext Growth Oslo";NOK;214.00;214.00;208.00;208.00;" 12:40";CET;29;6188.00;208.00;
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;230.00;233.00;227.00;228.00;" 16:25";CET;11461;2631827.00;228.00;
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;190.02;190.02;190.02;190.02;" 12:23";CET;1;190.02;190.02;
MORELD;NO0013325506;MORLD;"Oslo Børs";NOK;20.40;20.40;19.76;20.00;" 16:25";CET;1311978;26247725.41;20.00;
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;198.30;201.60;196.80;200.80;" 16:28";CET;1172849;234931973.85;200.80;
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;23.73;23.97;23.23;23.75;" 16:27";CET;1217272;28845626.89;23.75;
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;14.20;14.50;14.00;14.00;" 14:43";CET;223669;3172026.20;14.00;
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;154.00;159.20;154.00;158.60;" 16:25";CET;3951;624138.60;158.60;
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;32.60;33.20;32.50;33.20;" 12:48";CET;4067;132487.50;33.20;
